//Headphone name, Frequency, 90 dB SPL, 100 db SPL
Headphones 1,23.107,2.6816,4.1522
Headphones 2,23.107,2.9508,1.5358
Headphones 1,23.274,2.5942,4.1742
Headphones 2,23.274,2.9316,1.5078
Headphones 1,23.443,2.4908,4.1974
Headphones 2,23.443,2.8748,1.4504
Headphones 1,23.613,2.3894,4.2236
Headphones 2,23.613,2.7938,1.3646
Headphones 1,23.784,2.2962,4.249
Headphones 2,23.784,2.6812,1.2624
Headphones 1,23.956,2.2454,4.2722
Headphones 2,23.956,2.5422,1.1774
Headphones 1,24.13,2.2288,4.2918
Headphones 2,24.13,2.414,1.1288
Headphones 1,24.305,2.1964,4.3096
Headphones 2,24.305,2.324,1.1354
Headphones 1,24.481,2.1444,4.3302
Headphones 2,24.481,2.278,1.1818
Headphones 1,24.658,2.0952,4.3544
Headphones 2,24.658,2.29,1.2434
Headphones 1,24.837,2.0672,4.3782
Headphones 2,24.837,2.3384,1.297
Headphones 1,25.017,2.0784,4.399
Headphones 2,25.017,2.3946,1.3288
Headphones 1,25.198,2.1478,4.417
Headphones 2,25.198,2.4666,1.3508
Headphones 1,25.381,2.2596,4.4356
Headphones 2,25.381,2.5578,1.3608
Headphones 1,25.565,2.3774,4.4558
Headphones 2,25.565,2.6858,1.352
Headphones 1,25.75,2.4684,4.4742
Headphones 2,25.75,2.8444,1.3358
Headphones 1,25.937,2.5114,4.4838
Headphones 2,25.937,3.0142,1.329
Headphones 1,26.125,2.4944,4.481
Headphones 2,26.125,3.2032,1.3244
Headphones 1,26.314,2.4184,4.4718
Headphones 2,26.314,3.4144,1.3034
Headphones 1,26.505,2.318,4.4674
Headphones 2,26.505,3.672,1.267
Headphones 1,26.697,2.2434,4.4758
Headphones 2,26.697,3.9998,1.2298
Headphones 1,26.89,2.2202,4.4936
Headphones 2,26.89,4.3186,1.1996
Headphones 1,27.085,2.219,4.5108
Headphones 2,27.085,4.5196,1.1964
Headphones 1,27.281,2.2098,4.5182
Headphones 2,27.281,4.5758,1.2284
Headphones 1,27.479,2.2252,4.5136
Headphones 2,27.479,4.521,1.3166
Headphones 1,27.678,2.2832,4.4976
Headphones 2,27.678,4.3856,1.4028
Headphones 1,27.879,2.371,4.475
Headphones 2,27.879,4.233,1.4798
Headphones 1,28.081,2.6018,4.4586
Headphones 2,28.081,4.1244,1.544
Headphones 1,28.284,3.0378,4.4556
Headphones 2,28.284,4.0836,1.5936
Headphones 1,28.489,3.4646,4.4568
Headphones 2,28.489,4.0722,1.664
Headphones 1,28.696,3.7796,4.4436
Headphones 2,28.696,4.0604,1.7478
Headphones 1,28.903,4.2494,4.4168
Headphones 2,28.903,4.1286,1.8094
Headphones 1,29.113,5.1134,4.424
Headphones 2,29.113,4.1832,1.8224
Headphones 1,29.324,5.9862,4.5108
Headphones 2,29.324,4.2634,1.7512
Headphones 1,29.536,6.3674,4.6636
Headphones 2,29.536,4.3044,1.608
Headphones 1,29.75,6.0366,4.7708
Headphones 2,29.75,4.1016,1.44
Headphones 1,29.966,5.1562,4.8094
Headphones 2,29.966,3.6832,1.2978
Headphones 1,30.183,4.1638,4.763
Headphones 2,30.183,3.1534,1.1754
Headphones 1,30.402,3.5232,4.6622
Headphones 2,30.402,2.605,1.0978
Headphones 1,30.622,3.1686,4.571
Headphones 2,30.622,2.1004,1.0332
Headphones 1,30.844,2.8602,4.5334
Headphones 2,30.844,1.7328,0.948
Headphones 1,31.068,2.6144,4.5396
Headphones 2,31.068,1.4992,0.8606
Headphones 1,31.293,2.4774,4.551
Headphones 2,31.293,1.327,0.8058
Headphones 1,31.519,2.3844,4.561
Headphones 2,31.519,1.1902,0.805
Headphones 1,31.748,2.2654,4.587
Headphones 2,31.748,1.0902,0.8136
Headphones 1,31.978,2.1368,4.6316
Headphones 2,31.978,1.0374,0.8108
Headphones 1,32.21,1.9998,4.6728
Headphones 2,32.21,0.9912,0.8092
Headphones 1,32.443,1.8938,4.693
Headphones 2,32.443,0.9326,0.8182
Headphones 1,32.678,1.8854,4.6966
Headphones 2,32.678,0.872,0.8272
Headphones 1,32.915,1.9282,4.698
Headphones 2,32.915,0.82,0.8204
Headphones 1,33.153,1.9724,4.7028
Headphones 2,33.153,0.7776,0.8026
Headphones 1,33.394,1.9842,4.7078
Headphones 2,33.394,0.7404,0.7908
Headphones 1,33.636,1.9578,4.7098
Headphones 2,33.636,0.7244,0.7864
Headphones 1,33.879,1.9278,4.7058
Headphones 2,33.879,0.7308,0.7754
Headphones 1,34.125,1.9184,4.6924
Headphones 2,34.125,0.7488,0.7548
Headphones 1,34.372,1.9266,4.6728
Headphones 2,34.372,0.7878,0.7564
Headphones 1,34.621,1.919,4.6602
Headphones 2,34.621,0.8464,0.7862
Headphones 1,34.872,1.8638,4.6682
Headphones 2,34.872,0.9132,0.8118
Headphones 1,35.125,1.7906,4.7
Headphones 2,35.125,0.975,0.8204
Headphones 1,35.379,1.7518,4.7424
Headphones 2,35.379,1.0254,0.8182
Headphones 1,35.636,1.7398,4.7758
Headphones 2,35.636,1.0436,0.8182
Headphones 1,35.894,1.7256,4.785
Headphones 2,35.894,1.0128,0.8036
Headphones 1,36.154,1.6898,4.7696
Headphones 2,36.154,0.943,0.7686
Headphones 1,36.416,1.637,4.7444
Headphones 2,36.416,0.8636,0.7284
Headphones 1,36.68,1.5948,4.7316
Headphones 2,36.68,0.796,0.7068
Headphones 1,36.946,1.567,4.7334
Headphones 2,36.946,0.74,0.7036
Headphones 1,37.213,1.543,4.7354
Headphones 2,37.213,0.6924,0.7024
Headphones 1,37.483,1.532,4.7298
Headphones 2,37.483,0.6622,0.6984
Headphones 1,37.755,1.536,4.724
Headphones 2,37.755,0.6546,0.6972
Headphones 1,38.028,1.5426,4.722
Headphones 2,38.028,0.6586,0.6972
Headphones 1,38.304,1.5652,4.72
Headphones 2,38.304,0.6644,0.6916
Headphones 1,38.581,1.5904,4.7198
Headphones 2,38.581,0.6822,0.681
Headphones 1,38.861,1.5984,4.7294
Headphones 2,38.861,0.6998,0.6668
Headphones 1,39.143,1.5766,4.7426
Headphones 2,39.143,0.7134,0.6528
Headphones 1,39.426,1.5472,4.7428
Headphones 2,39.426,0.7142,0.6482
Headphones 1,39.712,1.5462,4.729
Headphones 2,39.712,0.7116,0.6534
Headphones 1,40,1.5646,4.7184
Headphones 2,40,0.6852,0.6482
Headphones 1,40.29,1.6064,4.713
Headphones 2,40.29,0.6382,0.628
Headphones 1,40.582,1.6606,4.701
Headphones 2,40.582,0.5798,0.6016
Headphones 1,40.876,1.7804,4.6826
Headphones 2,40.876,0.5572,0.5826
Headphones 1,41.172,1.8968,4.672
Headphones 2,41.172,0.5728,0.574
Headphones 1,41.47,1.941,4.6658
Headphones 2,41.47,0.5882,0.5708
Headphones 1,41.771,1.9272,4.648
Headphones 2,41.771,0.6066,0.5634
Headphones 1,42.073,1.9076,4.6208
Headphones 2,42.073,0.6274,0.5492
Headphones 1,42.378,1.8898,4.6068
Headphones 2,42.378,0.6624,0.537
Headphones 1,42.685,1.8544,4.6064
Headphones 2,42.685,0.7222,0.5256
Headphones 1,42.995,1.8096,4.5976
Headphones 2,42.995,0.769,0.5114
Headphones 1,43.306,1.7586,4.5794
Headphones 2,43.306,0.79,0.51
Headphones 1,43.62,1.7138,4.5618
Headphones 2,43.62,0.8222,0.5344
Headphones 1,43.936,1.711,4.5396
Headphones 2,43.936,0.874,0.5564
Headphones 1,44.254,1.7672,4.5054
Headphones 2,44.254,0.8934,0.5538
Headphones 1,44.575,1.8398,4.4746
Headphones 2,44.575,0.8712,0.5412
Headphones 1,44.898,1.8818,4.4622
Headphones 2,44.898,0.8272,0.5314
Headphones 1,45.223,1.8646,4.4562
Headphones 2,45.223,0.7654,0.5234
Headphones 1,45.551,1.7874,4.444
Headphones 2,45.551,0.6884,0.5186
Headphones 1,45.881,1.6948,4.4296
Headphones 2,45.881,0.6314,0.5146
Headphones 1,46.214,1.625,4.4124
Headphones 2,46.214,0.5952,0.5052
Headphones 1,46.549,1.5762,4.386
Headphones 2,46.549,0.569,0.4872
Headphones 1,46.886,1.549,4.3546
Headphones 2,46.886,0.5462,0.4754
Headphones 1,47.226,1.5288,4.3256
Headphones 2,47.226,0.5186,0.4764
Headphones 1,47.568,1.5042,4.2996
Headphones 2,47.568,0.5008,0.466
Headphones 1,47.913,1.4688,4.2756
Headphones 2,47.913,0.4804,0.4532
Headphones 1,48.26,1.4318,4.249
Headphones 2,48.26,0.4504,0.4542
Headphones 1,48.61,1.4096,4.2148
Headphones 2,48.61,0.4386,0.4474
Headphones 1,48.962,1.3984,4.18
Headphones 2,48.962,0.4358,0.44
Headphones 1,49.317,1.3992,4.1516
Headphones 2,49.317,0.4298,0.4408
Headphones 1,49.674,1.4128,4.1218
Headphones 2,49.674,0.4208,0.442
Headphones 1,50.034,1.4118,4.0898
Headphones 2,50.034,0.4154,0.4376
Headphones 1,50.396,1.3942,4.0598
Headphones 2,50.396,0.421,0.4366
Headphones 1,50.762,1.3712,4.0314
Headphones 2,50.762,0.4242,0.4432
Headphones 1,51.129,1.3346,4.0026
Headphones 2,51.129,0.4236,0.4528
Headphones 1,51.5,1.314,3.9766
Headphones 2,51.5,0.4352,0.4554
Headphones 1,51.873,1.3248,3.9536
Headphones 2,51.873,0.452,0.4518
Headphones 1,52.249,1.3306,3.9292
Headphones 2,52.249,0.4578,0.4442
Headphones 1,52.628,1.3222,3.9022
Headphones 2,52.628,0.4586,0.4264
Headphones 1,53.009,1.3126,3.8728
Headphones 2,53.009,0.4796,0.4072
Headphones 1,53.393,1.3034,3.841
Headphones 2,53.393,0.5048,0.4016
Headphones 1,53.78,1.2916,3.8076
Headphones 2,53.78,0.509,0.4056
Headphones 1,54.17,1.2832,3.775
Headphones 2,54.17,0.4962,0.4078
Headphones 1,54.562,1.2738,3.7408
Headphones 2,54.562,0.4712,0.404
Headphones 1,54.958,1.2566,3.7058
Headphones 2,54.958,0.4574,0.4092
Headphones 1,55.356,1.2398,3.6716
Headphones 2,55.356,0.4512,0.4146
Headphones 1,55.757,1.2238,3.6388
Headphones 2,55.757,0.4368,0.4074
Headphones 1,56.161,1.2094,3.604
Headphones 2,56.161,0.4342,0.3922
Headphones 1,56.568,1.2038,3.5672
Headphones 2,56.568,0.4378,0.3766
Headphones 1,56.978,1.1896,3.529
Headphones 2,56.978,0.433,0.364
Headphones 1,57.391,1.165,3.4904
Headphones 2,57.391,0.4404,0.3562
Headphones 1,57.807,1.1426,3.454
Headphones 2,57.807,0.4574,0.354
Headphones 1,58.226,1.1282,3.4178
Headphones 2,58.226,0.4864,0.368
Headphones 1,58.648,1.1358,3.3822
Headphones 2,58.648,0.5184,0.394
Headphones 1,59.073,1.1528,3.3482
Headphones 2,59.073,0.5328,0.4086
Headphones 1,59.501,1.1854,3.313
Headphones 2,59.501,0.5666,0.4124
Headphones 1,59.932,1.1964,3.2824
Headphones 2,59.932,0.5938,0.4032
Headphones 1,60.366,1.1514,3.2538
Headphones 2,60.366,0.5348,0.375
Headphones 1,60.803,1.113,3.218
Headphones 2,60.803,0.435,0.3552
Headphones 1,61.244,1.0958,3.1834
Headphones 2,61.244,0.3776,0.3464
Headphones 1,61.688,1.0704,3.1514
Headphones 2,61.688,0.3266,0.338
Headphones 1,62.135,1.0498,3.1192
Headphones 2,62.135,0.2898,0.332
Headphones 1,62.585,1.0362,3.0852
Headphones 2,62.585,0.2658,0.327
Headphones 1,63.039,1.027,3.0494
Headphones 2,63.039,0.2432,0.3188
Headphones 1,63.495,1.0186,3.0138
Headphones 2,63.495,0.2234,0.3082
Headphones 1,63.956,1.0092,2.9774
Headphones 2,63.956,0.2174,0.2998
Headphones 1,64.419,0.9964,2.9404
Headphones 2,64.419,0.2182,0.2922
Headphones 1,64.886,0.9814,2.9042
Headphones 2,64.886,0.2158,0.287
Headphones 1,65.356,0.9632,2.8704
Headphones 2,65.356,0.2052,0.2834
Headphones 1,65.83,0.9432,2.838
Headphones 2,65.83,0.206,0.2818
Headphones 1,66.307,0.9274,2.8052
Headphones 2,66.307,0.2084,0.2786
Headphones 1,66.787,0.9132,2.7706
Headphones 2,66.787,0.2056,0.2748
Headphones 1,67.271,0.9044,2.7356
Headphones 2,67.271,0.2006,0.272
Headphones 1,67.759,0.8968,2.7024
Headphones 2,67.759,0.1886,0.2666
Headphones 1,68.25,0.8892,2.669
Headphones 2,68.25,0.1792,0.262
Headphones 1,68.744,0.8834,2.6358
Headphones 2,68.744,0.1672,0.2576
Headphones 1,69.242,0.8734,2.6024
Headphones 2,69.242,0.1694,0.2532
Headphones 1,69.744,0.8612,2.569
Headphones 2,69.744,0.1766,0.2496
Headphones 1,70.249,0.8466,2.5358
Headphones 2,70.249,0.1716,0.245
Headphones 1,70.758,0.8352,2.5032
Headphones 2,70.758,0.16,0.238
Headphones 1,71.271,0.8248,2.4698
Headphones 2,71.271,0.1562,0.2306
Headphones 1,71.788,0.8116,2.4372
Headphones 2,71.788,0.1658,0.2222
Headphones 1,72.308,0.7976,2.4042
Headphones 2,72.308,0.1742,0.2174
Headphones 1,72.832,0.7856,2.3714
Headphones 2,72.832,0.1854,0.2162
Headphones 1,73.36,0.7754,2.3396
Headphones 2,73.36,0.1822,0.2148
Headphones 1,73.891,0.7666,2.309
Headphones 2,73.891,0.1776,0.2142
Headphones 1,74.427,0.7604,2.2782
Headphones 2,74.427,0.1776,0.2126
Headphones 1,74.966,0.754,2.2474
Headphones 2,74.966,0.1756,0.2114
Headphones 1,75.509,0.7438,2.216
Headphones 2,75.509,0.1662,0.2064
Headphones 1,76.056,0.7308,2.1848
Headphones 2,76.056,0.1652,0.199
Headphones 1,76.607,0.7164,2.1544
Headphones 2,76.607,0.1568,0.1916
Headphones 1,77.163,0.7038,2.1242
Headphones 2,77.163,0.147,0.187
Headphones 1,77.722,0.6932,2.0938
Headphones 2,77.722,0.14,0.1838
Headphones 1,78.285,0.6814,2.0638
Headphones 2,78.285,0.1358,0.1806
Headphones 1,78.852,0.6684,2.035
Headphones 2,78.852,0.1314,0.1776
Headphones 1,79.424,0.6572,2.0058
Headphones 2,79.424,0.1294,0.1758
Headphones 1,79.999,0.6468,1.9768
Headphones 2,79.999,0.1244,0.1754
Headphones 1,80.579,0.6352,1.9468
Headphones 2,80.579,0.1208,0.1744
Headphones 1,81.163,0.623,1.9172
Headphones 2,81.163,0.1218,0.173
Headphones 1,81.751,0.6116,1.8878
Headphones 2,81.751,0.1222,0.172
Headphones 1,82.343,0.602,1.8586
Headphones 2,82.343,0.1212,0.169
Headphones 1,82.94,0.5944,1.8304
Headphones 2,82.94,0.118,0.1654
Headphones 1,83.541,0.585,1.803
Headphones 2,83.541,0.1194,0.1626
Headphones 1,84.146,0.5748,1.776
Headphones 2,84.146,0.1222,0.1584
Headphones 1,84.756,0.5638,1.7478
Headphones 2,84.756,0.1182,0.155
Headphones 1,85.37,0.5538,1.7198
Headphones 2,85.37,0.1152,0.1514
Headphones 1,85.989,0.547,1.692
Headphones 2,85.989,0.119,0.1496
Headphones 1,86.612,0.5406,1.6662
Headphones 2,86.612,0.129,0.1478
Headphones 1,87.24,0.533,1.6392
Headphones 2,87.24,0.1314,0.148
Headphones 1,87.872,0.5288,1.6096
Headphones 2,87.872,0.1438,0.1518
Headphones 1,88.509,0.5382,1.5796
Headphones 2,88.509,0.1668,0.1574
Headphones 1,89.15,0.556,1.552
Headphones 2,89.15,0.2008,0.1654
Headphones 1,89.796,0.5806,1.5238
Headphones 2,89.796,0.2378,0.1778
Headphones 1,90.447,0.5546,1.4972
Headphones 2,90.447,0.2118,0.1704
Headphones 1,91.102,0.5144,1.48
Headphones 2,91.102,0.1552,0.1526
Headphones 1,91.762,0.4844,1.4592
Headphones 2,91.762,0.1164,0.1436
Headphones 1,92.427,0.4658,1.4354
Headphones 2,92.427,0.0952,0.1382
Headphones 1,93.097,0.452,1.4118
Headphones 2,93.097,0.0822,0.1344
Headphones 1,93.772,0.4412,1.3892
Headphones 2,93.772,0.0706,0.1316
Headphones 1,94.451,0.4298,1.3662
Headphones 2,94.451,0.0644,0.1292
Headphones 1,95.135,0.4186,1.343
Headphones 2,95.135,0.0606,0.1278
Headphones 1,95.825,0.4092,1.3198
Headphones 2,95.825,0.0594,0.127
Headphones 1,96.519,0.4012,1.2966
Headphones 2,96.519,0.0602,0.1256
Headphones 1,97.219,0.3928,1.2746
Headphones 2,97.219,0.0608,0.124
Headphones 1,97.923,0.3846,1.2526
Headphones 2,97.923,0.0616,0.1226
Headphones 1,98.633,0.3762,1.2308
Headphones 2,98.633,0.0636,0.122
Headphones 1,99.347,0.3698,1.2094
Headphones 2,99.347,0.0714,0.1224
Headphones 1,100.067,0.3636,1.1872
Headphones 2,100.067,0.0776,0.1228
Headphones 1,100.792,0.3536,1.1638
Headphones 2,100.792,0.0682,0.1208
Headphones 1,101.523,0.3438,1.1412
Headphones 2,101.523,0.0578,0.1184
Headphones 1,102.259,0.3352,1.119
Headphones 2,102.259,0.052,0.117
Headphones 1,103,0.328,1.0976
Headphones 2,103,0.05,0.1156
Headphones 1,103.746,0.321,1.0762
Headphones 2,103.746,0.052,0.1148
Headphones 1,104.498,0.3138,1.0558
Headphones 2,104.498,0.056,0.1138
Headphones 1,105.255,0.3084,1.0352
Headphones 2,105.255,0.0574,0.1124
Headphones 1,106.018,0.3022,1.015
Headphones 2,106.018,0.0538,0.1108
Headphones 1,106.786,0.295,0.995
Headphones 2,106.786,0.0522,0.1094
Headphones 1,107.56,0.287,0.9756
Headphones 2,107.56,0.0524,0.1086
Headphones 1,108.339,0.2782,0.9558
Headphones 2,108.339,0.053,0.108
Headphones 1,109.124,0.2698,0.9362
Headphones 2,109.124,0.0504,0.1074
Headphones 1,109.915,0.263,0.9168
Headphones 2,109.915,0.0504,0.107
Headphones 1,110.711,0.2582,0.8982
Headphones 2,110.711,0.0502,0.106
Headphones 1,111.514,0.2532,0.8798
Headphones 2,111.514,0.0494,0.1054
Headphones 1,112.322,0.2478,0.8616
Headphones 2,112.322,0.0488,0.1048
Headphones 1,113.136,0.2432,0.8436
Headphones 2,113.136,0.0488,0.104
Headphones 1,113.956,0.2372,0.8258
